text,is_kelas
ini yg en jd rw dan rumah tanpa dp kayak gin nih makan opini sesat,-1
haha maaf abang stok artis sudah tnggal itu ya gmna lagi,0
hayalan tingkat tinggi by peterpan,0
moga abang aniessandi dan uno pilih jadi gubernur dki,1
brantas narkoba sampai ke akar bapak saya titip dan miras brantas stop pabrik di botol ada pabrik buat mirasnya,0
hahay sampai segitunya jurus tipu ala jangan gada diri u ambisi,-1
rumah di area reklamasi,0
bukti nyata bukan hanya retorika faham kamu,0
bener banget apa pun tanya jawab okoc makanya punya program dong jangan sara,-1
datang ke istiqlal sambut takbir,0
anak harus hati jangan d mnfaatin sebarin selebaran ed u a u bd ed u b u,0
kenapa tidak boleh,0
npl kita sekarang d kisar brp ya bapak,0
apa yg di sampa malam tentang sungguh di luar duga bapak lupa masa lalu lihat ke depan,0
tampak hadir subuh berjamaah di,0
kampung derer sudah bangun tong,0
dan sudah rapat ke istiqlal indah sama dalan satu islam,0
insya allah jakarta pimpin oleh pemimpin yg soleh,1
di cari abang sumber lapor,0
aniessandi dan agussylvi lomba cari dukung dari fpi apa saja yg kalian janji pada fpi kalau menang pilkada dki,0
aniessandi aniessandi roket usai debat paling simpatik,0
moment baik ketika jelas kpd publik kena pilih,0
dagel politik ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u,0
rapi bersih atur tanpa pungli dan punya mrt ke segala lokasi,0
mari bapak,0
gimn jngn nyinyir mulu dong jangan jual mimpi mana program and,-1
bapak salah lagi dah,0
tolong kembali lanjut maju yg sudah makin rasa,1
paslon lebih baik,1
lapor masyarakat cukup lewat aplikasi hp solusi cepat tanggap tugas ppsu yg siaga yg sblmnya tidak pernah ada,0
tumbang nimpa dan sampai mrk ber gk bisa bangun krn di atas mrk jd ahokdjarot jg yg menang,1
insha allah aniessandi aniessandi untuk jakarta martabat,1
ini nama lain bibir lain jalan lain orasi lain prakteknya,-1
duduk dki adalah muslim so ya kita guna agama ada yg takut kalah,0
hal yg lihat sepele spt trotoar bagus dan luas ayan cepat dikelurahan dg suasana yg lbh rasa modern,0
kami santri rq dukung bapak dan bapak sandiuno untuk jadi gubernur dki,1
jangan pilih cagub yg tidak pernah baca al quran,-1
jangan cuma omdo nato,-1
dulu ingat pasti ingat tenun bangsa sekarang ingat hoax sama fundamentalis,0
baca tuh jangan skanya mnjatohkan lawan ptng bukti cuman pinter omong doang,-1
mknya jangan slh pilih pilih yg program bgs realistis bkn yg apa bisa dengan goodwil oke oce,0
kasihan anak suruh bagi brosur gubernur ada program discount,0
saking ramah dan banyak lapang kerja anak pun bisa jadi kang sebar flier,0
abang dan abang sandiuno hadir di masjid,0
makanya dan gagal paham debat jkt adu program bkn adu simpati,-1
hati bicara anda ini sdh laku cemar nama baik wajib di tuntut orang ini,0
kalau habib pangan oye fpi yess,0
alhamdulilllaaah pemegang amanah hadir,1
u sistem skrng punya hak mjdi gubernur jkrta tp yg mrsa sbg muslim kita wajib milih yg islam,1
moga allah swt berik menang pada antum dua moga jakarta selamat amin,1
aniessandi sandhi dan agussylvi silvi pilih mereka yg muslim,1
cara kualitas pemimpin juara tp bagai muslim saya tidak boleh pilih,-1
cara kualitas pemimpin ahokjarot juara tp bagai muslim saya tidak boleh pilih,-1
positif thinking aj mgkin mic ny rusak atw mngkin kabelny lepas hwhw,0
ass yakin usaha sampai wslm,0
tidak jadi menteri apa karena tidak punya massa buat pilpres ya ganti khan punya massa yang buanyaakk yaahhhh,-1
itu cara yg guna kaum teroris yg lebih keji drpd cara yg pakai pki,0
apa kita warga jakarta akan beri suara kepada org goblok kayak si dan si yg program di awang jd gubernur,-1
palingsuka kami akan tegas kpd distributor narkoba namun rangkul penuh kasih syg kpd candu,0
lebih ga malu lagi kamu bos wong sipit dan kafir pake ava cewek hijab pantes panas ed u a u bd ed u b u ed u a u bd ed u b u,0
tetangga sudah masuk rsj abang kamu tinggal di aceh apa di pondok labu haha ngibul ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u,-1
yg punya okoce cuma bapak yg lain cuma khayal mau maju umkm di jakarta ed u a u bd ed u b u ed u a u bd ed u b u,-1
aaamiiin hayuk wrg jkt kt pilih paslon y,1
debat malam simpatik banget sesi akhir kepemimpinan ruji dg tidak serang paslon dn,1
oo gitu ya tapi yang mana,0
moga allah swt restu ada pemimpin yg lbh hati umat,1
sungguh masyarakat jg tidak tahu apa benar bersih n apa niat tulus benar bela penting masyarakat,0
makan bangku skul jangan jd rayap,0
smg masyarakat jkrt buka mata hati utk pilih pemimpin yg santun n mertabat bkn yg arogan n sok bersih,1
insyaallah amanah,1
kamu juga di jebak ahokdjarot haha,0
ketika bicara,0
gokil bapak calon pemimpin negara amin ed u a u bd ed u b u a ed u a u bd ed u b u f ed u a u bc ed u bf u bc,1
bapak hadir dalam sholat subuh berjamaah,0
abang sandiu trmasuk org trkaya di indo boleh donk pinjam uangx jt utk beli rmh cicil thn ya srtifikt bapak pegang,0
memang pinjam koq kembal,0
keren program nya abang lebih riil sgt bpihak ke rakyat kecil di dki,1
kok pada ngerasain ya bapak,0
hilang harap orang anak kecil yg punya cita jadi gubernur jadi dagang lagi saja ya dik,0
kami sudah buat belum yang lain pikir,0
abang ngegombalnya sudah over dosis ah ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u,-1
jelang sholat subuh berjamaah di mesjid istiqlal di ak,0
apa program ini akan terus jalan andai saja gubernur buksn aniessandi,0
sedih saya liat bapak saya yang pernah sangat kagum dengan bapak,-1
ada cagub yg klaim sbg ortu warga jkt warga tidak aku ahokdjarot sbg ortun,0
om waras om,0
saat cara kampanye gambar cara pimpin,0
lalu kau roma tidak harga asa ani ed u a u bd ed u b u ed u a u bd ed u b u ed u a u bd ed u b u,0
abang kalau nyetatus intelek dikit kenapa malu kali sama haters ed u a u bd ed u b u c,-1
kami harap setelah tangga februari dan kembali merah putih,-1
silvi lg asal dongeng yg pnting nyinyir di balkot difabel jg dperkaryakan ga prnah ngantor,0
maju terus bapak aniessandi,1
tapi di cicil bulan bagaimana sih,0
ramah kpd kaum difabel yg sblumnya tidak prnah trpikir jkt sdh tidak kampung lg berkat ahokdjarot,1
jadi ga hrs melulu mnggunakan ramp lift jkt sekarang sdh mulai maju sprti kota dunia mulai peduli,0
sikap dan pemahaman yg benar sbg makhluk moga langit rahmat menang atau kalah anda tetap menang abang,0
maju terus ed u a u bd ed u b u c ed u a u bd ed u b u c,1
jd bohong lg parah nih org doyan banget omong bohong molo,-1
mantaabb maju terus,1
memang bangsat laknatullah,-1
kemarin yes sekarang no,0
dulu ak milih,0
ini yang ajar dosen ini fitnah bapak dosen apa kayak kau en jadi gubernur ta,0
mantan menteri koplak semua halal,-1
kurang dess dess cak cek kepinteren ed u a u be ed u b u jd telmi mungkin,0
oke oce itu makan cemilan baru ya,0
cicil panjang kan bunga mahal aniessandi kan di bidang dana als lintah darat,-1
rasis,0
keren semua hny allah swt yg bisa tentu takdir telah tulis bagi kita adalah berikhiar dan doa,0
iya iya tapi ga dilakuin buwas saja cerita,0
ngupi dini hari usai saksi kita dulu tgl jangan lupa coblos,0
di jam sudah jaya deh kayak tinggal lanjutin saja,0
memang lama ini yg jd tuan rumah siapa,0
pinned tweet nya ganti donk sudah bulan lebih nih,0
ya karna anda sudh temak hoax dr ahoker,0
oalah bapak bapak cuma bisa omong thok kowe,-1
ahokdjarot ahokdjarot lebih nyata mata saya,1
pantas saja di pecat sama bapak jokowi,-1
masukin tempat tidur lwt mana lb lt,0
ed u a u bd ed u b u haha mngkn dia banyak kenal sales properti kaleee,0
hrsnya bapak aniessandi mepet terus ke mana agussylvi subuh utk jaga suara stabil,0
saya prediksi pilkada akan langsung putar benar ini tarung vs utk lolos no sdh pasti lolos,0
jangan hanya omangan doang dana buat itu dri mana belum pula dp rumah tidak ada mau nambahin utang,-1
mz mau berantas narkoba sampai tuntas eh dapet salam dari yg mau legalisasi ganja wakwawwww,0
tepat malu dunia didik yang telah besar nama,-1
tpi sbgaian ibu bisa jgak bawa dampak ingin laku curang,-1
moga pimpin ya bapak dan amanah,1
yg lbh simple lagi serahin ke tugas lembaga ed u a u bd ed u b u a ed u a u bd ed u b u a,0
dan banding mmg lbh kapabel program lbh bumi tidak cuma retorika saja,-1
jelas tentang konsep rumah tanpa dp,0
terus ngapain km bilang tugas lembaga kalau km sudah tau jwbn nya aazzz,0
kluarga yg utama brow,0
hai apa kabar jangan bangun benda benda mati bagaimana mz sehat,0
trlalu simple uda ada tgas msing lmbaganya,0
wah parah nih kata didik tapi hati busuk ya,-1
logika kalau kinerja benar dia gk akan di henti saat jd menteri itu pemecatan cara halus,-1
nah itu km sebutin arti ngerangkul km paham gk apa,0
bukti yang nyata fact congrats terus juang putar adala,1
kenapa tidak kalian atur juga dan harus pribumi asli bukan turun,0
pemikiran km saja yg gk nyampe soal sosialisasi,0
bina jg pasti ada kok,0
sdh kebelet en jadi gubernur shg esensi prtanyan pun tidak t rjawab jg kebelet b,-1
ngeyel ni org gk paham kinerja maksud sosialisasi bhy narkoba sprti apa akun abal,-1
bapak lihat nih bapak haha,0
sungguh asli gubernur dki,0
ya kan sangat ingin kuasa skrmg apa laku,-1
kreeeen nmr kebyoranlama,0
bagi ica kali gorila budastick,0
pas doi ngomg gtu eike ngakak bisa jg bapak aniessandi sedudul itu yaahh ed u a u bd ed u b u ed u a u bd ed u b u,-1
in sya allah brkah bapak moga doa kta d ijabah allah maju terus,1
banyak congek kali abang,0
raffi ahmad timses bapak pake narkoba bapak buat ikhtiar kmrn,0
dunia didik malu pernah punya orang seperti anda,-1
apa wewenang hukum di gubernur kam ada kuhp asal nhomong,-1
pantes aceh selalu di landa musibah gempa dll mulu krn rasis kek lo,-1
pssssst itu cuma buat paslon,0
mmg watak asli org br buka pas dia lg ditawari kuasa ya kayak aniessandi ini,-1
nonton debat cagub dki bikin emosi dgn nyata pasang pasang hmm lalu ambisi suka u c ed u a u bd ed u b u f,-1
makasih buat terjemah bapak ayo kita fokus kerja kerja kerja saja,0
ed u a u bd ed u b u a apa lemah ahokdjarot ed u a u bd ed u b u a agama ed u a u bd ed u b u a yaudah kalau gitu hajar habis pake isu agama ben modiar,-1
warga jkrt tau mn yang bs mimpin jkrt kok kamu cmn ngeramaikan biar ade balon gubernur si,0
katane tidak nyangkut pilkada mbok yao ikut nah diri biar tidak campur politik gt l,0
maaf track record tidak bisa bohong saya pilih yang bersih saja,-1
sapa sih yg tau gerak ini hah kamuflase buat kendara politik doang cb tanya org awam apa manfaat im ga ada,0
maklum saja boss,0
tadi tidak sebut kredit rumah mana dan siapa yg oleh dp mungkin ini rumah yg janji,0
tolol,-1
gubernur baru stok lama,0
bgmn bs jd pemimpin yg rangkul sama smua kl yg beda agama beda suku sudut dlm kampanye,1
video ini ga akan gugah soal uda buta hati nurani oleh napsu kuasa prinsip yg pegang lama dilepehin,-1
moga masuk putar ke bapak d putar k suara gabung dgn paslon siapa yg masuk paslon atau gbg,1
souzon bangat sih,0
mantap kanda yakin usaha sampai,1
teori saja diandalin,-1
dua jari yes om ahokdjarot ommm,1
besok pagi subuh di istiqlal ya om,0
ayo berkah hidup dengan bagi lalu link ikut,0
korupsi dong bapak disebutin berantas korupsi gitu baru clear,0
kpr tanpa dp tidak salah tuh ga di marah bi ojk apa tidak salah proedur,0
insya allah jakarta utara pilih cagub muslim ed u a u bd ed u b u a,1
ayo warga jkt kita kawal dan menang utk gubernur dan wagub dki jakarta,1
kpr kredit lacur rumah dong,0
cek tl ku dari tahun brp saya sosialisasikn bhya narkoba brp org yg ingin sembuh dari candu,0
ok oce pokok u c ed u a u be ed u b u,0
km sdh pernah cek ke lap brp tmpt yg kau sosialisasikn bhya narkoba,0
hehehe tap kata yang dibangung akhlak saja bapak bangun nggak penting ed u a u bd ed u b u,0
ini kata komnas perempuan pindah tanggungjawab ke gerak perempuan cape deh,0
hadir utk jakarta dgn menawarkan lindung hadap hak warga dagang kaki lima,0
ucap bismillah lalu apkh bakal pake atur allah,0
ah kalau cuma jwban blg gtu gk real gk smudah itu orang pcandu,0
jakarta untuk semua jangan kotak kotak dan jangan mau kotak kotak,1
sara yg mana,0
kerja kls atas asyik nge twitt para dukung mari kompak tuk damai aza pilih n,1
dlm hati kecil kalian pasti tidak bs bohong diri bahwa ideal lah utk dki jakarta,1
nonton orasi habib rizieq,0
bapak ahokdjarot boleh dong datang,0
emng gtu kok gk tau kalau ortunya kaya tanya saja d lp bnyk tu cuma pmakai saja emangny kamu pmakai,0
kalau pernah urus imb pasti erti kalau si nista nabrak izin reklamasi,-1
main sudah main kasar dan fitnah,-1
that moment ketika berita ini di gas sama bapak dan di like abang padahal isi adalah j,0
elektabilitas naik maka turun atau balik mereka rebut segmen pasar yg sama,0
lucu bapak ed u a u bd ed u b u,0
tahu ga ada yang omong sprt ini di medsos benar jika benar jadi anda,0
kalau cerdas ya pasti hadir lah unt menetralisir bujuk rayu agussylvi,0
dalam sesi interaksi tidak bertanya kepada ia justru minta dapat,0
pantes di pecat presiden ed u a u be ed u b u a ed u a u be ed u b u a,-1
banyak dukung nista anak muda yg baru ikut milu kmaren gampang di wash brain,-1
suka dengan closing statement bapak pada saat debat insya allah ikhtiar kabul,1
anti reklamasi ngumpulnya sama partai sanusi ed u a u bd ed u b u,0
pakta ya haha wujud di feb x saja,0
prabowo jd jamin,0
insha allah no putar pertama gusur sama hal dgn gusur warga,1
hati masyarakat saja tanpa debat jg pa ahokdjarot suda pasti menang,1
sabotase lah,0
debat ke semua paslon telah baik kurang di debat belum,0
apa ini bukan nista agama nama,0
ed u a u bd ed u b u d salam ukhuwah,0
